397.53,402.47,348.85,351.64,67.5,37.06,22.5,2.0599,3.4998,1.9998
395.68,403.24,347.65,353.23,83.608,39.169,16.108,2.1094,1.9964,1.9998
393.69,403.46,346.38,354.78,96.108,41.299,12.5,2.1302,1.9995,1.9998
391.71,403.25,345.06,356.29,106.11,43.799,10,2.5,1.9997,1.9998
389.78,402.69,343.68,357.73,114.14,46.299,8.0357,2.5,1.9997,1.9998
387.96,401.88,342.23,359.11,119.45,48.799,5.3066,2.5,1.9997,1.9998
386.22,400.89,340.73,360.43,122.78,51.299,3.3284,2.5,1.9998,1.9998
384.54,399.81,339.17,361.68,125.41,53.799,2.6285,2.5,1.9998,1.9998
382.91,398.65,337.56,362.86,125.41,56.299,0,2.5,1.9998,1.9998
381.28,397.49,335.89,363.97,125.41,58.799,0,2.5,1.9998,1.9998
379.65,396.33,334.18,365.01,125.41,61.299,0,2.5,1.9998,1.9998
378.02,395.18,332.43,365.97,125.41,63.799,0,2.5,1.9998,1.9998
376.39,394.02,330.63,366.85,125.41,66.299,0,2.5,1.9998,1.9998
374.76,392.86,328.8,367.65,125.41,68.799,0,2.5,1.9998,1.9998
373.13,391.7,326.94,368.38,122.78,71.299,-2.6285,2.5,1.9998,1.9998
371.45,390.62,325.04,369.02,120.28,73.799,-2.5,2.5,1.9998,1.9998
369.72,389.61,323.12,369.58,117.76,76.299,-2.5224,2.5,1.9998,1.9998
367.95,388.68,321.18,370.05,115.23,78.799,-2.5224,2.5,1.9998,1.9998
366.14,387.82,319.22,370.44,115.23,81.299,0,2.5,1.9998,1.9998
364.33,386.97,317.24,370.74,115.23,83.799,0,2.5,1.9998,1.9998
362.52,386.12,315.25,370.96,112.36,86.299,-2.8699,2.5,1.9998,1.9998
360.67,385.36,313.26,371.09,109.62,88.799,-2.7439,2.5,1.9998,1.9998
358.79,384.69,311.26,371.13,109.62,91.299,0,2.5,1.9998,1.9998
356.91,384.02,309.26,371.08,109.62,93.799,0,2.5,1.9998,1.9998
355.02,383.34,307.26,370.95,106.88,96.299,-2.7439,2.5,1.9998,1.9998
353.11,382.76,305.28,370.73,106.88,98.799,0,2.5,1.9998,1.9998
